Reach Name,Basin,Assessment Unit,Priority Actions,Reach Rank,Priority Species,Priority Life Stages,Unacceptable Limiting Factors,At-Risk Limiting Factors,Action Categories,Updated
North Shaser Creek 01,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing",No Unacceptable Limiting Factors,"Coarse Substrate,Cover- Wood,Floodplain Connectivity","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Upland Management",27.Jan.2223
Peshastin Creek Upper 03,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Spawning and Incubation,BT Natal Rearing","Brook Trout,Floodplain Connectivity,Temperature- Rearing","Coarse Substrate,Cover- Wood","Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2224
Tronsen Creek 03,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing",PRCNT Fines and Embeddedness,"Coarse Substrate,Cover- Wood,Floodplain Connectivity","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Upland Management",27.Jan.2225
Beaver Creek North Fork 03,Methow,Upper Beaver Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,BT Subadult Rearing",No Unacceptable Limiting Factors,"PRCNT Fines and Embeddedness,Coarse Substrate","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2226
Blue Buck Creek 01,Methow,Upper Beaver Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,BT Subadult Rearing",PRCNT Fines and Embeddedness,Coarse Substrate,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2227
Eight Mile Creek 03,Methow,Eight Mile Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,BT Subadult Rearing",Brook Trout,PRCNT Fines and Embeddedness,"Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2228
Eight Mile Creek 04,Methow,Eight Mile Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,BT Subadult Rearing",Brook Trout,PRCNT Fines and Embeddedness,"Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2229
Eight Mile Creek 05,Methow,Eight Mile Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,BT Subadult Rearing",Brook Trout,PRCNT Fines and Embeddedness,"Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2230
Eight Mile Creek 06,Methow,Eight Mile Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,BT Subadult Rearing",Brook Trout,PRCNT Fines and Embeddedness,"Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2231
Eight Mile Creek 07,Methow,Eight Mile Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,BT Subadult Rearing","PRCNT Fines and Embeddedness,Brook Trout",No At-Risk Limiting Factors,"Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2232
Eight Mile Creek 08,Methow,Eight Mile Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,BT Subadult Rearing",Brook Trout,PRCNT Fines and Embeddedness,"Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2233
Eight Mile Creek 09,Methow,Eight Mile Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,BT Subadult Rearing","PRCNT Fines and Embeddedness,Brook Trout",No At-Risk Limiting Factors,"Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2234
Mad River Upper 01,Entiat,Upper Mad River,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,Holding and Maturation","Brook Trout,Pool Quantity and Quality","Cover- Wood,Floodplain Connectivity","Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management",27.Jan.2235
Mad River Upper 02,Entiat,Upper Mad River,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,Holding and Maturation","Brook Trout,Pool Quantity and Quality",Floodplain Connectivity,"Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management",27.Jan.2236
Mad River Upper 03,Entiat,Upper Mad River,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,Holding and Maturation","Brook Trout,Pool Quantity and Quality",Floodplain Connectivity,"Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management",27.Jan.2237
Mad River Upper 04,Entiat,Upper Mad River,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,Holding and Maturation","Brook Trout,Pool Quantity and Quality",No At-Risk Limiting Factors,"Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management",27.Jan.2238
Mad River Upper 05,Entiat,Upper Mad River,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing,Holding and Maturation","Brook Trout,Cover- Wood,Pool Quantity and Quality",No At-Risk Limiting Factors,"Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management",27.Jan.2239
Little Wenatchee River Lower 02,Wenatchee,Lower Little Wenatchee River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Spawning and Incubation,Holding and Maturation","Off-Channel- Side-Channels,Pool Quantity and Quality,Temperature- Rearing,PRCNT Fines and Embeddedness,Temperature- Adult Spawning,Temperature- Adult Holding","Bank Stability,Channel Stability,Stability,Cover- Wood,Floodplain Connectivity","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2240
Little Wenatchee River Lower 04,Wenatchee,Lower Little Wenatchee River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Spawning and Incubation,Holding and Maturation","Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover,Temperature- Rearing,PRCNT Fines and Embeddedness,Temperature- Adult Spawning,Temperature- Adult Holding","Cover- Wood,Floodplain Connectivity,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2241
Little Wenatchee River Lower 03,Wenatchee,Lower Little Wenatchee River,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead","Spawning and Incubation,Holding and Maturation","Pool Quantity and Quality,Riparian-Canopy Cover,Temperature- Adult Spawning,Temperature- Adult Holding","Cover- Wood,Off-Channel- Side-Channels,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2242
Little Wenatchee River Lower 05,Wenatchee,Lower Little Wenatchee River,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead","Spawning and Incubation,Holding and Maturation","Cover- Wood,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding","Floodplain Connectivity,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Water Quality Improvement",27.Jan.2243
Little Wenatchee River Lower 06,Wenatchee,Lower Little Wenatchee River,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead","Spawning and Incubation,Holding and Maturation","Cover- Wood,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian","Floodplain Connectivity,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Water Quality Improvement",27.Jan.2244
Little Wenatchee River Lower 01,Wenatchee,Lower Little Wenatchee River,Address Limiting Factors,Not Ranked,Spring Chinook,"Spawning and Incubation,Holding and Maturation","Temperature- Adult Spawning,Pool Quantity and Quality,Temperature- Adult Holding",No At-Risk Limiting Factors,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Water Quality Improvement",27.Jan.2245
Beaver Creek Lower 01,Methow,Lower Beaver Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Spawning and Incubation,Summer Rearing","Bank Stability,Channel Stability,Stability,Coarse Substrate,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing,PRCNT Fines and Embeddedness",No At-Risk Limiting Factors,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2246
Beaver Creek Lower 03,Methow,Lower Beaver Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Spawning and Incubation,Summer Rearing","Channel Stability,Coarse Substrate,Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Stability,Stability,Floodplain Connectivity,Off-Channel- Side-Channels","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2247
Beaver Creek Lower 04,Methow,Lower Beaver Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Spawning and Incubation,Summer Rearing","Channel Stability,Coarse Substrate,Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Stability,Stability,Floodplain Connectivity,Off-Channel- Side-Channels","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2248
Little Bridge Creek 04,Methow,Little Bridge Creek,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Spawning and Incubation,Summer Rearing","Cover- Wood,Riparian-Disturbance,PRCNT Fines and Embeddedness","Bank Stability,Channel Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2249
Little Bridge Creek 05,Methow,Little Bridge Creek,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Spawning and Incubation,Summer Rearing","Cover- Wood,Riparian-Disturbance,PRCNT Fines and Embeddedness","Channel Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2250
Beaver Creek Lower 02,Methow,Lower Beaver Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead","Spawning and Incubation,Summer Rearing","Channel Stability,Coarse Substrate,Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Stability,Stability,Floodplain Connectivity,Off-Channel- Side-Channels","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2251
Beaver Creek Lower 06,Methow,Lower Beaver Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead","Spawning and Incubation,Summer Rearing","Channel Stability,Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2252
Little Bridge Creek 02,Methow,Little Bridge Creek,"Restore Reach Function, Address Limiting Factors",2,Steelhead,"Spawning and Incubation,Summer Rearing","Riparian-Disturbance,PRCNT Fines and Embeddedness","Bank Stability,Channel Stability,Stability,Coarse Substrate,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2253
Beaver Creek Lower 05,Methow,Lower Beaver Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead","Spawning and Incubation,Summer Rearing","Channel Stability,Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2254
Beaver Creek Lower 08,Methow,Lower Beaver Creek,Address Limiting Factors,3,Steelhead,"Spawning and Incubation,Summer Rearing","Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality","PRCNT Fines and Embeddedness,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management",27.Jan.2255
Beaver Creek Lower 09,Methow,Lower Beaver Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead","Spawning and Incubation,Summer Rearing","Channel Stability,Cover- Wood,Pool Quantity and Quality","Bank Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2256
Little Bridge Creek 03,Methow,Little Bridge Creek,"Restore Reach Function, Address Limiting Factors",3,Steelhead,"Spawning and Incubation,Summer Rearing","Cover- Wood,Riparian-Disturbance,PRCNT Fines and Embeddedness","Bank Stability,Channel Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2257
Frazer Creek 01,Methow,Lower Beaver Creek,Address Limiting Factors,Not Ranked,Steelhead,"Spawning and Incubation,Summer Rearing","PRCNT Fines and Embeddedness,Flow- Summer Base Flow,Pool Quantity and Quality","Coarse Substrate,Cover- Wood","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management",27.Jan.2258
Little Bridge Creek 01,Methow,Little Bridge Creek,Address Limiting Factors,Not Ranked,Steelhead,"Spawning and Incubation,Summer Rearing",PRCNT Fines and Embeddedness,"Coarse Substrate,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Upland Management",27.Jan.2259
Wenatchee River Beaver 01,Wenatchee,Wenatchee River-Beaver Creek,Address Limiting Factors,3,Spring Chinook,"Spawning and Incubation,Summer Rearing,Holding and Maturation","Temperature- Adult Spawning,Flow- Summer Base Flow,Temperature- Rearing,Temperature- Adult Holding",No At-Risk Limiting Factors,"Channel Modification, Instream Flow Enhancement, Upland Management, Water Quality Improvement",27.Jan.2260
Wenatchee River Beaver 05,Wenatchee,Wenatchee River-Beaver Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Adult Spawning,Temperature- Adult Holding","Coarse Substrate,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2261
Wenatchee River Beaver 06,Wenatchee,Wenatchee River-Beaver Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Adult Spawning,Temperature- Adult Holding","Channel Stability,Stability,Pool Quantity and Quality,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2262
Wenatchee River Beaver 07,Wenatchee,Wenatchee River-Beaver Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Adult Spawning,Temperature- Adult Holding","Channel Stability,Stability,Pool Quantity and Quality,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2263
Wenatchee River Beaver 08,Wenatchee,Wenatchee River-Beaver Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Pool Quantity and Quality,Riparian-Disturbance,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding","Bank Stability,Channel Stability,Stability,Off-Channel- Side-Channels,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2264
Wenatchee River Beaver 09,Wenatchee,Wenatchee River-Beaver Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding","Channel Stability,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2265
Wenatchee River Beaver 03,Wenatchee,Wenatchee River-Beaver Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Bank Stability,Flow- Summer Base Flow,Riparian-Disturbance,Temperature- Adult Spawning,Temperature- Adult Holding","Channel Stability,Stability,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2266
Wenatchee River Beaver 04,Wenatchee,Wenatchee River-Beaver Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Bank Stability,Flow- Summer Base Flow,Riparian-Disturbance,Temperature- Adult Spawning,Temperature- Adult Holding","Channel Stability,Stability,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2267
Wenatchee River Beaver 11,Wenatchee,Wenatchee River-Beaver Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Channel Stability,Cover- Wood,Flow- Summer Base Flow,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding","Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2268
Wenatchee River Beaver 12,Wenatchee,Wenatchee River-Beaver Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Bank Stability,Cover- Wood,Flow- Summer Base Flow,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding","Channel Stability,Stability,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2269
Wenatchee River Beaver 02,Wenatchee,Wenatchee River-Beaver Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Cover- Wood,Flow- Summer Base Flow,Temperature- Adult Spawning,Temperature- Adult Holding","Pool Quantity and Quality,Riparian-Canopy Cover,Temperature- Rearing","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2270
Wenatchee River Beaver 10,Wenatchee,Wenatchee River-Beaver Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Flow- Summer Base Flow,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding","Channel Stability,Coarse Substrate,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2271
Wenatchee River Beaver 13,Wenatchee,Wenatchee River-Beaver Creek,Address Limiting Factors,3,"Spring Chinook, Steelhead","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation","Temperature- Adult Spawning,Cover- Wood,Temperature- Rearing,Temperature- Adult Holding","Off-Channel- Side-Channels,Flow- Summer Base Flow,Pool Quantity and Quality","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2272
Nason Creek Lower 09,Wenatchee,Lower Nason Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Bank Stability,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Canopy Cover,Temperature- Rearing,PRCNT Fines and Embeddedness,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Channel Stability,Stability,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2273
