"ReachName","Assessment_Unit","Basin","% Fines/Embeddedness - Habitat_Attribute_Score","% Fines/Embeddedness - Data_Source","Bank Stability - Habitat_Attribute_Score","Bank Stability - Data_Source","Brook Trout - Habitat_Attribute_Score","Brook Trout - Data_Source","Channel Stability - Habitat_Attribute_Score","Channel Stability - Data_Source","Coarse Substrate - Habitat_Attribute_Score","Coarse Substrate - Data_Source","Contaminants - Habitat_Attribute_Score","Contaminants - Data_Source","Cover- Boulders - Habitat_Attribute_Score","Cover- Boulders - Data_Source","Cover- Undercut Banks - Habitat_Attribute_Score","Cover- Undercut Banks - Data_Source","Cover- Wood - Habitat_Attribute_Score","Cover- Wood - Data_Source","Entrainment/Stranding - Habitat_Attribute_Score","Entrainment/Stranding - Data_Source","Flow- Scour - Habitat_Attribute_Score","Flow- Scour - Data_Source","Flow- Summer Base Flow - Habitat_Attribute_Score","Flow- Summer Base Flow - Data_Source","Food- Food Web Resources - Habitat_Attribute_Score","Food- Food Web Resources - Data_Source","Harassment - Habitat_Attribute_Score","Harassment - Data_Source","Icing - Habitat_Attribute_Score","Icing - Data_Source","Floodplain Connectivity - Habitat_Attribute_Score","Floodplain Connectivity - Data_Source","Off-Channel/Side-Channels - Habitat_Attribute_Score","Off-Channel/Side-Channels - Data_Source","Pool Quantity & Quality - Habitat_Attribute_Score","Pool Quantity & Quality - Data_Source","Pools- Deep Pools - Habitat_Attribute_Score","Pools- Deep Pools - Data_Source","Predators- Adults - Habitat_Attribute_Score","Predators- Adults - Data_Source","Predators- Juveniles - Habitat_Attribute_Score","Predators- Juveniles - Data_Source","Riparian- Canopy Cover - Habitat_Attribute_Score","Riparian- Canopy Cover - Data_Source","Riparian-Disturbance - Habitat_Attribute_Score","Riparian-Disturbance - Data_Source","Superimposition - Habitat_Attribute_Score","Superimposition - Data_Source","Temperature- Adult Holding - Habitat_Attribute_Score","Temperature- Adult Holding - Data_Source","Temperature- Adult Spawning - Habitat_Attribute_Score","Temperature- Adult Spawning - Data_Source","Temperature- Rearing - Habitat_Attribute_Score","Temperature- Rearing - Data_Source"
"Okanogan 16-8","Okanogan-Davis Canyon","Okanogan","5","EDT_Level 2 Fine Sediment(HabitatAttributeScore1), EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","1","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","5","EDT_Width(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2), PROSPER(HabitatAttributeScore3), ATLAS Flow(HabitatAttributeScore5)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","1","EDT_Scour Pool pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","1","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)"
"Okanogan 16-9","Okanogan-Talant Creek","Okanogan","5","EDT_Level 2 Fine Sediment(HabitatAttributeScore1), EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","3","ATLAS Flow(HabitatAttributeScore5)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","1","EDT_Scour Pool pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","1","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)"
"Okanogan Crosschannel 16-1","Okanogan-Haynes Creek South","Okanogan","5","EDT_Level 2 Fine Sediment(HabitatAttributeScore1), EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score",NA,"no score","3","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","3","EDT_Width(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","3","305bListings_Temperature(HabitatAttributeScore2)","3","305bListings_Temperature(HabitatAttributeScore2)","3","305bListings_Temperature(HabitatAttributeScore2)"
"Omak 16-1","Omak Creek-Lower US","Okanogan","5","EDT_Level 2 Fine Sediment(HabitatAttributeScore1), EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","1","PROSPER(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","1","EDT_Scour Pool pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","1","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)"
"Omak 16-10","Omak Creek-Lower US","Okanogan","1","EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","1","PROSPER(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","1","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)"
"Omak 16-11","Omak Creek-Middle DS","Okanogan","1","EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","3","PROSPER(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","1","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)"
"Omak 16-12","Omak Creek-Middle DS","Okanogan","1","EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","1","PROSPER(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","1","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)"
"Omak 16-13","Omak Creek-Middle DS","Okanogan","1","EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","1","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","3","PROSPER(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","1","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)"
"Omak 16-14","Omak Creek-Upper DS","Okanogan","1","EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","3","PROSPER(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","3","EDT_Scour Pool pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","1","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)"
"Omak 16-15","Omak Creek-Upper DS","Okanogan","1","EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","3","PROSPER(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","3","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","3","NORWEST_Temperature(HabitatAttributeScore1)","3","NORWEST_Temperature(HabitatAttributeScore1)","3","NORWEST_Temperature(HabitatAttributeScore1)"
"Omak 16-16","Omak Creek-Upper DS","Okanogan","1","EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","1","PROSPER(HabitatAttributeScore3)","3","EDT_Level 2 Benthic Richness(HabitatAttributeScore2)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","1","EDT_Scour Pool pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","3","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","3","NORWEST_Temperature(HabitatAttributeScore1)","3","NORWEST_Temperature(HabitatAttributeScore1)","3","NORWEST_Temperature(HabitatAttributeScore1)"
"Omak 16-17","Omak Creek-Upper DS","Okanogan","5","EDT_Level 2 Fine Sediment(HabitatAttributeScore1), EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","1","PROSPER(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","3","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","3","NORWEST_Temperature(HabitatAttributeScore1)","3","NORWEST_Temperature(HabitatAttributeScore1)","3","NORWEST_Temperature(HabitatAttributeScore1)"
"Omak 16-2","Omak Creek-Lower US","Okanogan","1","EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","1","PROSPER(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)",NA,"no score",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","1","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)"
"Omak 16-3","Omak Creek-Lower US","Okanogan","3","EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","1","EDT_Width(HabitatAttributeScore1), PROSPER(HabitatAttributeScore3)","3","EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","1","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1), EDT_Temperature: Daily Maximum(HabitatAttributeScore3)","1","NORWEST_Temperature(HabitatAttributeScore1), EDT_Temperature: Daily Maximum(HabitatAttributeScore3)","1","NORWEST_Temperature(HabitatAttributeScore1), EDT_Temperature: Daily Maximum(HabitatAttributeScore3)"
"Omak 16-4","Omak Creek-Lower US","Okanogan","5","EDT_Level 2 Fine Sediment(HabitatAttributeScore1), EDT_Level 2 Embeddedness(HabitatAttributeScore2)","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","EDT_Level 2 Confinement: Artificial(HabitatAttributeScore1) (detault to REI score)","3","EDT_UCSRBCoarseSub pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score",NA,"no score",NA,"no score","5","EDT_Woody Debris(HabitatAttributeScore1) (detault to REI score)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Level 2 Bed scour(HabitatAttributeScore1), EDT_Level 2 Flow: Inter-Annual Low Flow Variation(HabitatAttributeScore2)","1","PROSPER(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Benthic Richness(HabitatAttributeScore2), EDT_Temperature: Food Effect(HabitatAttributeScore3)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","EDT_Floodplain pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","1","EDT_Scour Pool pct(HabitatAttributeScore1) (detault to REI score)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1), EDT_Level 2 Predation Risk(HabitatAttributeScore2)","1","Canopy_Cover_NORWEST(HabitatAttributeScore2)",NA,"no score","5","PROFESSIONAL JUDGEMENT(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)","1","NORWEST_Temperature(HabitatAttributeScore1)"
